lead_status,lifecycle_stage,contact_owner,last_activity_date,marketing_contact_status,create_date,student_type,athletics,event_attended,campus_location,paid_lead_list,organic_lead_list,degree,data_origin,normalized_source,lead_type
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 08,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 03,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 14,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 14,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 14,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 04,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 06,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
